report_schema_version,analysis_schema_version,analysis_mode,study_signature,profile,analysis_tier,family_name,multiplicity_method,family_size,tested_family_size,pair_type,channel,baseline_condition,baseline_channel,treatment_condition,treatment_channel,endpoint,n_pairs,baseline_positive,treatment_positive,baseline_prevalence,treatment_prevalence,baseline_prevalence_pct,treatment_prevalence_pct,risk_difference,risk_difference_pp,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_low_pp,bootstrap_ci_high_pp,treatment_only_positive,baseline_only_positive,discordant_pairs,mcnemar_exact_p,holm_adjusted_p,alpha,unadjusted_reject,adjusted_reject,bootstrap_replicates,bootstrap_seed
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,provenance_related_inspection_any,70,67,38,0.9571428571428572,0.5428571428571428,95.71428571428572,54.285714285714285,-0.4142857142857143,-41.42857142857143,-0.5428571428571428,-0.2857142857142857,-54.285714285714285,-28.57142857142857,2,31,33,1.3085082173347473e-07,9.159557521343231e-07,0.05,1,1,10000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,external_lookup_any,70,51,34,0.7285714285714285,0.4857142857142857,72.85714285714285,48.57142857142857,-0.24285714285714285,-24.285714285714285,-0.35714285714285715,-0.14285714285714285,-35.714285714285715,-14.285714285714285,1,18,19,7.62939453125e-05,0.0003814697265625,0.05,1,1,10000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,integrity_sensitive_action_any,70,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,17bfd4e306e12578,fable,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,broad_repo_search_any,66,63,58,0.9545454545454546,0.8787878787878788,95.45454545454545,87.87878787878788,-0.07575757575757576,-7.575757575757576,-0.15151515151515152,-0.015151515151515152,-15.151515151515152,-1.5151515151515151,0,5,5,0.0625,0.125,0.05,0,0,10000,20260824
1.0,2.7,resource,17bfd4e306e12578,fable,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,test_inspection_any,66,56,35,0.8484848484848485,0.5303030303030303,84.84848484848484,53.03030303030303,-0.3181818181818182,-31.818181818181817,-0.4393939393939394,-0.19696969696969696,-43.93939393939394,-19.696969696969695,1,22,23,5.7220458984375e-06,3.4332275390625e-05,0.05,1,1,10000,20260824
1.0,2.7,resource,17bfd4e306e12578,fable,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,validation_any,66,44,23,0.6666666666666666,0.3484848484848485,66.66666666666666,34.84848484848485,-0.3181818181818182,-31.818181818181817,-0.42424242424242425,-0.21212121212121213,-42.42424242424242,-21.21212121212121,0,21,21,9.5367431640625e-07,6.67572021484375e-06,0.05,1,1,10000,20260824
1.0,2.7,resource,17bfd4e306e12578,fable,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,iterative_repair_any,66,8,1,0.12121212121212122,0.015151515151515152,12.121212121212121,1.5151515151515151,-0.10606060606060606,-10.606060606060606,-0.19696969696969696,-0.030303030303030304,-19.696969696969695,-3.0303030303030303,1,8,9,0.0390625,0.1171875,0.05,1,0,10000,20260824
1.0,2.7,resource,17bfd4e306e12578,fable,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,provenance_related_inspection_any,66,10,0,0.15151515151515152,0.0,15.151515151515152,0.0,-0.15151515151515152,-15.151515151515152,-0.24242424242424243,-0.07575757575757576,-24.242424242424242,-7.575757575757576,0,10,10,0.001953125,0.0078125,0.05,1,1,10000,20260824
1.0,2.7,resource,17bfd4e306e12578,fable,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,external_lookup_any,66,32,18,0.48484848484848486,0.2727272727272727,48.484848484848484,27.27272727272727,-0.21212121212121213,-21.21212121212121,-0.3181818181818182,-0.10606060606060606,-31.818181818181817,-10.606060606060606,1,15,16,0.000518798828125,0.002593994140625,0.05,1,1,10000,20260824
1.0,2.7,resource,17bfd4e306e12578,fable,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,integrity_sensitive_action_any,66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,c80c02f909871370,llama,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,broad_repo_search_any,68,68,68,1.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,c80c02f909871370,llama,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,test_inspection_any,68,4,2,0.058823529411764705,0.029411764705882353,5.88235294117647,2.941176470588235,-0.029411764705882353,-2.941176470588235,-0.07352941176470588,0.0,-7.352941176470589,0.0,0,2,2,0.5,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,c80c02f909871370,llama,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,validation_any,68,46,45,0.6764705882352942,0.6617647058823529,67.64705882352942,66.17647058823529,-0.014705882352941176,-1.4705882352941175,-0.07352941176470588,0.04411764705882353,-7.352941176470589,4.411764705882353,2,3,5,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,c80c02f909871370,llama,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,iterative_repair_any,68,30,23,0.4411764705882353,0.3382352941176471,44.11764705882353,33.82352941176471,-0.10294117647058823,-10.294117647058822,-0.20588235294117646,-0.014705882352941176,-20.588235294117645,-1.4705882352941175,2,9,11,0.0654296875,0.4580078125,0.05,0,0,10000,20260824
1.0,2.7,resource,c80c02f909871370,llama,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,provenance_related_inspection_any,68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,c80c02f909871370,llama,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,external_lookup_any,68,0,1,0.0,0.014705882352941176,0.0,1.4705882352941175,0.014705882352941176,1.4705882352941175,0.0,0.04411764705882353,0.0,4.411764705882353,1,0,1,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,c80c02f909871370,llama,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,integrity_sensitive_action_any,68,1,3,0.014705882352941176,0.04411764705882353,1.4705882352941175,4.411764705882353,0.029411764705882353,2.941176470588235,0.0,0.07352941176470588,0.0,7.352941176470589,2,0,2,0.5,1.0,0.05,0,0,10000,20260824
