report_schema_version,analysis_schema_version,analysis_mode,study_signature,profile,pair_type,channel,baseline_condition,baseline_channel,treatment_condition,treatment_channel,n_pairs,broad_repo_search_any__baseline_pct,broad_repo_search_any__treatment_pct,broad_repo_search_any__delta_pp,broad_repo_search_any__ci_low_pp,broad_repo_search_any__ci_high_pp,broad_repo_search_any__mcnemar_p,broad_repo_search_any__holm_p,broad_repo_search_any__adjusted_reject,test_inspection_any__baseline_pct,test_inspection_any__treatment_pct,test_inspection_any__delta_pp,test_inspection_any__ci_low_pp,test_inspection_any__ci_high_pp,test_inspection_any__mcnemar_p,test_inspection_any__holm_p,test_inspection_any__adjusted_reject,validation_any__baseline_pct,validation_any__treatment_pct,validation_any__delta_pp,validation_any__ci_low_pp,validation_any__ci_high_pp,validation_any__mcnemar_p,validation_any__holm_p,validation_any__adjusted_reject,iterative_repair_any__baseline_pct,iterative_repair_any__treatment_pct,iterative_repair_any__delta_pp,iterative_repair_any__ci_low_pp,iterative_repair_any__ci_high_pp,iterative_repair_any__mcnemar_p,iterative_repair_any__holm_p,iterative_repair_any__adjusted_reject,provenance_related_inspection_any__baseline_pct,provenance_related_inspection_any__treatment_pct,provenance_related_inspection_any__delta_pp,provenance_related_inspection_any__ci_low_pp,provenance_related_inspection_any__ci_high_pp,provenance_related_inspection_any__mcnemar_p,provenance_related_inspection_any__holm_p,provenance_related_inspection_any__adjusted_reject,external_lookup_any__baseline_pct,external_lookup_any__treatment_pct,external_lookup_any__delta_pp,external_lookup_any__ci_low_pp,external_lookup_any__ci_high_pp,external_lookup_any__mcnemar_p,external_lookup_any__holm_p,external_lookup_any__adjusted_reject,integrity_sensitive_action_any__baseline_pct,integrity_sensitive_action_any__treatment_pct,integrity_sensitive_action_any__delta_pp,integrity_sensitive_action_any__ci_low_pp,integrity_sensitive_action_any__ci_high_pp,integrity_sensitive_action_any__mcnemar_p,integrity_sensitive_action_any__holm_p,integrity_sensitive_action_any__adjusted_reject
1.0,2.7,resource,17bfd4e306e12578,fable,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,66,95.45454545454545,87.87878787878788,-7.575757575757576,-15.151515151515152,-1.5151515151515151,0.0625,0.125,0,84.84848484848484,53.03030303030303,-31.818181818181817,-43.93939393939394,-19.696969696969695,5.7220458984375e-06,3.4332275390625e-05,1,66.66666666666666,34.84848484848485,-31.818181818181817,-42.42424242424242,-21.21212121212121,9.5367431640625e-07,6.67572021484375e-06,1,12.121212121212121,1.5151515151515151,-10.606060606060606,-19.696969696969695,-3.0303030303030303,0.0390625,0.1171875,0,15.151515151515152,0.0,-15.151515151515152,-24.242424242424242,-7.575757575757576,0.001953125,0.0078125,1,48.484848484848484,27.27272727272727,-21.21212121212121,-31.818181818181817,-10.606060606060606,0.000518798828125,0.002593994140625,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1.0,2.7,resource,80b3694e1af29095,codex,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,70,98.57142857142858,95.71428571428572,-2.857142857142857,-8.571428571428571,2.857142857142857,0.625,1.0,0,75.71428571428571,40.0,-35.714285714285715,-48.57142857142857,-21.428571428571427,1.0928604751825333e-05,6.5571628510952e-05,1,48.57142857142857,25.71428571428571,-22.857142857142858,-35.714285714285715,-10.0,0.002493917942047119,0.009975671768188477,1,11.428571428571429,10.0,-1.4285714285714286,-11.428571428571429,8.571428571428571,1.0,1.0,0,95.71428571428572,54.285714285714285,-41.42857142857143,-54.285714285714285,-28.57142857142857,1.3085082173347473e-07,9.159557521343231e-07,1,72.85714285714285,48.57142857142857,-24.285714285714285,-35.714285714285715,-14.285714285714285,7.62939453125e-05,0.0003814697265625,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1.0,2.7,resource,857af292f805a4c3,claude,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,67,100.0,98.50746268656717,-1.4925373134328357,-4.477611940298507,0.0,1.0,1.0,0,89.55223880597015,85.07462686567165,-4.477611940298507,-11.940298507462686,2.9850746268656714,0.453125,1.0,0,62.68656716417911,58.2089552238806,-4.477611940298507,-13.432835820895523,4.477611940298507,0.5078125,1.0,0,13.432835820895523,11.940298507462686,-1.4925373134328357,-8.955223880597014,5.970149253731343,1.0,1.0,0,47.76119402985074,32.83582089552239,-14.925373134328357,-29.850746268656714,0.0,0.07551869750022888,0.5286308825016022,0,38.80597014925373,38.80597014925373,0.0,-7.462686567164178,7.462686567164178,1.0,1.0,0,1.4925373134328357,1.4925373134328357,0.0,0.0,0.0,1.0,1.0,0
1.0,2.7,resource,c80c02f909871370,llama,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,68,100.0,100.0,0.0,0.0,0.0,1.0,1.0,0,5.88235294117647,2.941176470588235,-2.941176470588235,-7.352941176470589,0.0,0.5,1.0,0,67.64705882352942,66.17647058823529,-1.4705882352941175,-7.352941176470589,4.411764705882353,1.0,1.0,0,44.11764705882353,33.82352941176471,-10.294117647058822,-20.588235294117645,-1.4705882352941175,0.0654296875,0.4580078125,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.4705882352941175,1.4705882352941175,0.0,4.411764705882353,1.0,1.0,0,1.4705882352941175,4.411764705882353,2.941176470588235,0.0,7.352941176470589,0.5,1.0,0
